id,emp_length,home_ownership,verification_status,purpose
6c266f44-bfd0-4bb7-bdcf-245460aa804f,10years,rent,Verified,debt_consolidation
ccfbcb47-e7c9-44e6-9d59-f045555caba9,10years,mortgage,Verified,credit_card
4c1a65dd-e3a8-4e48-9d54-b60e66e3f85e,10years,mortgage,Verified,debt_consolidation
010a4290-036d-4992-a53c-aab43998d6f8,10years,rent,Not Verified,debt_consolidation
8a51572c-9fea-4805-a142-52a706b99d06,3years,rent,Verified,debt_consolidation
c0a2e1c1-aecf-49e7-b9dd-07d03ee39c86,7years,own,Verified,debt_consolidation
139bdb3e-59b5-40da-80b0-4ea8f3d31d27,10years,mortgage,Verified,debt_consolidation
80066858-3a79-4834-8686-38268b12f6f6,0year,own,Verified,credit_card
ae0bd58f-429d-47c8-92bf-707e4f43386a,8years,rent,Not Verified,other
7a2d4698-de8f-48eb-8dbb-0a0d63e5f593,2years,rent,Verified,credit_card
daf326fd-cb97-4fa8-aa41-788524d6847a,2years,mortgage,Verified,debt_consolidation
88486540-e6c5-4d38-adb3-1ec7ca639509,10years,mortgage,Not Verified,debt_consolidation
28abda7b-dc31-4e1d-9ad6-5444e03f3eeb,4years,mortgage,Verified,house
6f184620-cbdf-4f20-b9ea-8262d80f79b7,5years,own,Not Verified,car
0e09d993-cff7-4164-be86-5356a21cc4b7,3years,rent,Verified,credit_card
bd4e37ad-3228-4a75-a470-31d64eb0ac67,<1year,rent,Verified,debt_consolidation
d9c7c0ad-f6d4-431e-8e42-eb13e5889c1d,7years,mortgage,Verified,debt_consolidation
0d115041-aa86-4bed-b4ad-ac4f1f9cba50,10years,mortgage,Verified,debt_consolidation
b7ce7f46-8923-46a4-aa9e-f8e7954763dc,2years,mortgage,Verified,debt_consolidation
bed12aab-e074-4270-bb5f-8ed4c82658f4,2years,rent,Verified,debt_consolidation
b05bb039-1460-4152-b89f-b913fcc34cce,10years,own,Not Verified,debt_consolidation
842d2b36-c7c9-4511-9988-75924645ab24,10years,mortgage,Not Verified,debt_consolidation
3d24cf2d-d049-4021-bbda-0d2319cff018,3years,mortgage,Verified,debt_consolidation
19d06b6d-d25e-401a-bb14-04c42993f994,10years,mortgage,Verified,debt_consolidation
36dfd9f1-bda8-4080-88d8-5a8bcb1d7921,4years,rent,Verified,other
b95ddad7-04e2-4160-ace6-2b7adc21e05d,10years,rent,Verified,debt_consolidation
ff1b2f28-6f0f-4f1b-800f-89d05125f640,10years,mortgage,Verified,debt_consolidation
1602b9b6-7912-425d-9d69-0cb9ae341929,3years,rent,Verified,major_purchase
660c7e9a-b35a-454c-b96c-8657afbbefe3,<1year,mortgage,Verified,small_business
d6921838-21f4-4bb8-b240-a7174d49b2de,10years,mortgage,Verified,debt_consolidation
5207f06e-867f-474b-9f4e-f9841e06032e,10years,mortgage,Verified,credit_card
63b72f8b-d638-4ebe-8798-d2f20621e6e6,2years,mortgage,Verified,credit_card
9001cbc1-caab-4a69-bd6a-a5788818baff,4years,mortgage,Not Verified,credit_card
e5fc0279-acde-42b1-89b6-ceabb5b90bc7,5years,mortgage,Verified,debt_consolidation
be3ae022-e463-4808-84bc-09df5316427e,2years,mortgage,Verified,credit_card
ac9938fe-303d-4108-a401-1f0e70a212b5,10years,mortgage,Verified,debt_consolidation
f0e979a4-3167-44b1-801d-01a69a4887ac,10years,rent,Verified,debt_consolidation
8e61bd8b-7e36-4707-8552-800725a1cb28,10years,rent,Verified,other
c8573e1c-2b8c-40b7-bba7-2576c91f8048,1year,rent,Verified,debt_consolidation
88a7c8ab-263b-4ad9-b4ed-78439bc72faa,10years,rent,Verified,debt_consolidation
57a8b564-efd5-4059-ab88-4698bd7d9d92,3years,mortgage,Verified,debt_consolidation
6c3667cd-6f20-4c24-a246-4368f7e05259,4years,rent,Verified,credit_card
5c939fcb-766b-4045-a59e-99eca47c66a7,2years,rent,Verified,debt_consolidation
374798f4-3285-4719-a38a-dab42eea0255,<1year,rent,Verified,major_purchase
9b8732e2-7f25-4418-80fa-f7f3d8df2a7e,<1year,rent,Verified,other
c364d83d-65b1-40ba-9805-9d1684eb3dc2,<1year,rent,Verified,other
bbcaa386-1f7a-4aae-83bc-97f915126235,5years,mortgage,Verified,other
5d0d103b-2b4c-4098-b3ec-bc871a26d597,2years,rent,Verified,debt_consolidation
3934223f-5d31-4d84-806e-ba823f5d99a9,4years,rent,Verified,debt_consolidation
38b31d5a-a4b6-4e60-a590-1dc3efa8ad7c,10years,mortgage,Not Verified,debt_consolidation
b725955e-1c28-439f-b2b3-03e4ac32b66c,10years,rent,Not Verified,debt_consolidation
f2246434-a393-4f3b-b91a-4b90667d37a6,1year,mortgage,Verified,credit_card
f8d1f16e-749c-46e2-83d9-16906f7271e8,0year,own,Verified,credit_card
b45037ec-b7de-4704-88b0-011176bddbbc,10years,mortgage,Verified,credit_card
fdca19da-949f-403f-a5c1-49d702a57f23,7years,mortgage,Verified,debt_consolidation
42b86eee-01ca-418b-b49d-0a39a3b12109,10years,mortgage,Verified,credit_card
31be4c93-7334-4fcb-9134-521cf4d9ab3c,10years,mortgage,Verified,house
55522c35-d587-4573-a7bb-c639a3c27082,2years,rent,Verified,debt_consolidation
b4561006-2838-4c45-b84b-e02ed75c0e21,6years,mortgage,Verified,other
aaf5e4f9-63ff-4d6b-bbc7-c4d83fb3fcc6,4years,mortgage,Verified,credit_card
d714d05d-6b0a-4663-8a65-bfc2e4d72207,8years,mortgage,Verified,other
d06cfb27-4974-49c3-87d0-ec6041079b1a,4years,mortgage,Verified,other
6bb293d2-4a37-4f09-bfec-026fa999791f,9years,rent,Not Verified,debt_consolidation
1dd48bf2-4098-4d5e-a954-cb5f6cd45347,2years,mortgage,Verified,debt_consolidation
c282ed3a-3349-4ea6-bb09-420e038f4408,9years,mortgage,Verified,debt_consolidation
8265078c-777b-4588-b9d4-2dbb1d00bdb8,4years,mortgage,Verified,credit_card
bf0e9236-4a9f-4c73-8da1-8b74d02bd0bf,5years,own,Verified,debt_consolidation
271c6d9d-aca2-4717-afa0-28ef671d6a46,0year,mortgage,Not Verified,debt_consolidation
46a79894-87fb-4121-980f-933abc8ffa89,2years,rent,Verified,debt_consolidation
010b54eb-f933-41db-b2fc-5511eb69210c,10years,rent,Verified,debt_consolidation
80178454-bb43-43df-87da-2cc744b7663e,10years,rent,Verified,debt_consolidation
aea80aa5-4b75-4f5f-be67-59359933217c,10years,mortgage,Not Verified,debt_consolidation
0c4ac8d2-39b3-40e2-a747-a11928b7c97c,10years,mortgage,Verified,debt_consolidation
0bcdca34-046a-43ed-ab22-08a382f14b41,9years,mortgage,Not Verified,debt_consolidation
abd19cf9-b829-4a5a-92e6-3a4434e08489,6years,rent,Verified,debt_consolidation
45332621-f59c-4b37-8901-4da992e1e6c5,<1year,mortgage,Verified,debt_consolidation
33035816-0528-41e0-8c74-4afeb101ce36,<1year,mortgage,Verified,debt_consolidation
b4060730-b028-4819-b9b4-7edfe90c0d79,10years,mortgage,Verified,small_business
928001f5-9ba6-4475-b2a1-87c499ccf888,<1year,rent,Not Verified,vacation
b37d3a74-1767-42ed-a4c2-e9051aa85c1a,10years,mortgage,Verified,debt_consolidation
ebcd01cc-6e94-43ea-8d6e-63ac4f995c17,2years,mortgage,Verified,other
65de47cc-dfdd-4c43-800b-987ed80b6585,2years,rent,Verified,credit_card
f296ee12-1a0b-4bf6-81da-fefb433e43e8,10years,own,Verified,house
3594a461-c454-47ba-8b6e-a998f8cc0f5a,10years,mortgage,Verified,debt_consolidation
2fa1b837-9473-4246-9f2e-764d26760f33,5years,rent,Verified,debt_consolidation
1389540e-5b15-4aa8-a7e0-41c758948dee,5years,rent,Verified,credit_card
fe4259f7-95d8-4314-936a-087031aec569,10years,mortgage,Verified,debt_consolidation
3941fa3a-bfb3-4952-8c3e-57867aa62f3f,10years,mortgage,Not Verified,credit_card
1e8fd082-2f1e-44e2-9630-aa0b220b1803,4years,mortgage,Verified,debt_consolidation
6b32b165-7eb0-4b59-9da2-a333be3b9cb7,10years,mortgage,Verified,debt_consolidation
3025dd4f-a04b-42e6-a3b1-34a52845866a,10years,mortgage,Verified,debt_consolidation
1ba4f92f-2f4a-4458-b26d-f773ca5db14c,6years,own,Not Verified,debt_consolidation
d39ea4ae-8fe8-4f65-92cf-481b136106d4,10years,mortgage,Not Verified,debt_consolidation
233f2144-ec48-4199-b3f5-0a386f44b926,<1year,rent,Verified,credit_card
5c781d44-a68e-428f-a51c-420b814b6a1a,8years,mortgage,Verified,debt_consolidation
f3e696be-275d-44c8-8678-4f677c8643b5,3years,mortgage,Verified,debt_consolidation
5b1376dd-223d-4a09-882f-1547ab03b8a9,4years,rent,Not Verified,debt_consolidation
0834f918-ec80-4d01-8cae-e90f70fe9028,6years,mortgage,Verified,credit_card
9ffa40fb-6f45-4b81-946e-081c961666a3,10years,mortgage,Not Verified,other
71d5fae2-7910-42e1-be1f-967f016041ac,10years,mortgage,Not Verified,other
c90c68dd-7588-4bd9-9564-4ddc8250b0b2,10years,mortgage,Verified,other
4e91df5a-1a3d-459c-bc62-ad47b664715b,5years,mortgage,Not Verified,debt_consolidation
4869ab0b-1a09-4cd1-bd89-a6c8bc1944df,8years,mortgage,Not Verified,credit_card
66278a3b-71d9-4e10-b0d2-35ecdd34e35b,9years,mortgage,Verified,credit_card
5faa9762-0d0d-4252-9af3-b8d1748c1f23,10years,rent,Verified,debt_consolidation
ec91b784-7dc8-4b3f-870a-3f0f2df88d5e,10years,own,Not Verified,debt_consolidation
36e4dc74-5c1b-4e97-bae3-1332473660cf,6years,own,Not Verified,debt_consolidation
a5eec2fe-2a06-4a7a-b2ab-6ca0b26ca2c7,<1year,rent,Verified,credit_card
badac83c-f59f-4baf-8cce-b04ea741ab3a,7years,mortgage,Verified,debt_consolidation
b059b1a0-53e2-48dd-88cf-fe863d8a20b0,1year,mortgage,Verified,debt_consolidation
7183b8eb-cd66-4a7f-866b-22a41d2d94c2,10years,rent,Not Verified,debt_consolidation
7b023296-fb7f-4f96-be2f-2f2d5ddffb7f,10years,mortgage,Verified,debt_consolidation
2800ffe7-a568-403b-9958-f0d5133d3ba0,6years,mortgage,Verified,house
792d7060-c603-4f4a-8def-6b48dabe94a1,5years,mortgage,Not Verified,medical
36ded54e-e286-48fd-bd2c-713cda1a4560,9years,rent,Verified,debt_consolidation
3bfc9afa-faac-42ac-a334-415d0467a664,8years,mortgage,Verified,other
cfdd5643-1b4c-4a8b-9672-feeff3a01c2d,0year,mortgage,Verified,debt_consolidation
7feba215-8b28-4b0c-8453-ef68e703af29,8years,mortgage,Not Verified,medical
c4f77624-4cc1-4b77-a8c5-dcdff3002551,5years,rent,Not Verified,debt_consolidation
d65e6fc3-aa2f-46b6-a39e-ae84a876a4d1,10years,own,Not Verified,debt_consolidation
a77fd40e-4dcf-4a63-a29b-3773984d3fda,0year,mortgage,Verified,debt_consolidation
7bd12c2a-252c-4b1e-9fce-325fa4c66bb9,2years,mortgage,Verified,debt_consolidation
538265bb-c7fe-47a9-96aa-cff29155ad96,1year,mortgage,Not Verified,debt_consolidation
9f054c6c-7c8e-4192-9b25-ed0198e32e4c,9years,mortgage,Not Verified,debt_consolidation
19d81f21-3dc3-4790-968f-8c0a3117ed75,4years,rent,Verified,debt_consolidation
2bf79d88-4fc5-4e72-9154-e185eef89070,9years,mortgage,Verified,credit_card
fcd2d3f2-2dd7-496f-b747-a8fbf49a65ef,10years,mortgage,Verified,debt_consolidation
19c44099-900d-4bc0-983f-90b30e86850b,10years,mortgage,Verified,debt_consolidation
0f808394-4181-4592-901f-55d6687f1f1b,10years,mortgage,Verified,debt_consolidation
80bbf45a-d5de-4697-9524-4ca303e6d897,7years,rent,Verified,car
b9eeeb3e-e1c2-406c-b0ea-9cca008f37e1,10years,rent,Verified,debt_consolidation
bcf1436a-dc2d-4d31-a9fe-33aecc06eef9,2years,rent,Verified,debt_consolidation
86181617-00d3-49e9-bfc1-b41066c04316,10years,mortgage,Verified,debt_consolidation
38c8da07-7189-49ca-86bd-24378fccffe7,<1year,mortgage,Verified,house
4a00716b-1d03-49fe-a51e-9206fca1e3d7,2years,rent,Verified,medical
2b92af3a-c207-447a-98e3-cff99574733d,0year,rent,Verified,debt_consolidation
6fe8397b-e401-44f7-812d-f7e48c981bd9,10years,mortgage,Verified,credit_card
7e1d7d04-fd51-4ea3-a82a-54dbcd60307c,7years,own,Verified,credit_card
aa791592-9206-4117-a21a-6ef1ecb60013,3years,own,Verified,debt_consolidation
7d0d9ce1-8986-47ef-8f63-d21ca7ee423a,5years,rent,Not Verified,debt_consolidation
d82a79fd-92d4-4b5c-b1db-3eaefc6a42e5,3years,mortgage,Verified,debt_consolidation
92cde2f6-d998-4c5a-997b-4faba9c1b22f,4years,mortgage,Not Verified,debt_consolidation
f179bdd9-9563-42c2-bcb3-1b80c93ac460,2years,mortgage,Verified,debt_consolidation
733dc84c-3d5d-40b2-b428-c1019fee52a1,2years,rent,Verified,small_business
f4aff891-beb2-441a-8aa6-3e62e53ee3a8,6years,rent,Verified,debt_consolidation
77437338-f9e0-439d-8e92-557fbdce3a3b,10years,own,Verified,medical
bfdc4ca5-3f7c-4b51-92a4-4819559e024a,9years,mortgage,Verified,debt_consolidation
1728e38b-d291-4a30-b2b5-9b8fac1b740d,2years,mortgage,Verified,credit_card
ad20d064-5621-44ba-ae4d-6b2f15c007c5,4years,rent,Verified,debt_consolidation
2d827c6b-c106-4458-8681-3b2544ae2e4b,9years,mortgage,Not Verified,debt_consolidation
d02d4e05-1e48-4e0d-9c68-b12085da7769,8years,mortgage,Not Verified,debt_consolidation
f8ad581c-4c44-4123-9c6a-2a9dec5d462a,7years,rent,Not Verified,car
b234573b-afbe-4d8f-b1f9-cf825a789543,1year,own,Verified,debt_consolidation
f2db7ea3-9686-4002-b5db-1dff7c29b62b,3years,rent,Verified,debt_consolidation
c150e149-c9d9-4b37-8163-ea76d630929e,10years,mortgage,Not Verified,debt_consolidation
f04160f4-38de-4c37-bae6-3736c997fc4f,0year,rent,Verified,debt_consolidation
b746f290-bd7d-4eef-97b5-44ac1ddf9a35,8years,rent,Verified,debt_consolidation
f36fedd7-d17a-4b20-8242-7584dea9b4b7,2years,rent,Verified,credit_card
a2f40aef-5ec1-4c47-98d1-575c6338ee1d,4years,mortgage,Not Verified,debt_consolidation
afb0756c-a8ce-4f3c-9e53-7ce7705d499d,6years,mortgage,Verified,debt_consolidation
47e5005d-d3a9-4035-810f-9e99bd5b7bfe,10years,mortgage,Verified,house
2a5bf23e-886e-456b-955b-7e5f39390d2a,10years,mortgage,Verified,house
ae24ad22-ff93-483c-a4d2-1ab3795c62f4,10years,mortgage,Verified,debt_consolidation
c6966fa7-aae7-41da-bdc0-33ca6afe0c4d,10years,mortgage,Verified,house
97f53b47-2ce7-4eec-aac0-3fb0224b9f5d,10years,mortgage,Verified,debt_consolidation
01ead989-81dc-4b51-9bc6-2e2979b8ff3f,10years,mortgage,Verified,debt_consolidation
c4ffe3f8-462c-49e2-a684-ad591e832346,10years,own,Not Verified,debt_consolidation
228764b6-b4e4-41b7-ad9f-31bf6269f9c1,7years,mortgage,Verified,debt_consolidation
a4613683-b17f-47db-b740-c167edea5926,5years,mortgage,Verified,credit_card
7b8475ea-209b-4a00-9253-7629d7840bc5,7years,rent,Verified,debt_consolidation
eeede3d7-c445-49ab-ae2b-98628c949b71,9years,mortgage,Verified,debt_consolidation
342f0691-cbb7-4f4d-aaec-4fcffd1346b5,10years,rent,Not Verified,debt_consolidation
d63455bb-5b1e-4394-9031-9ead8449195a,10years,own,Verified,debt_consolidation
ece4e27b-9ff3-4d23-ae3f-58c4587e14b8,<1year,rent,Verified,small_business
2fcf2f6f-8dea-4ba0-852c-a692d7b7ef34,6years,rent,Verified,car
0bd1eee7-f688-48a1-910c-8981de2042ed,10years,mortgage,Verified,debt_consolidation
bd454c63-cf28-44c4-893f-b735a1ae84d1,8years,mortgage,Verified,debt_consolidation
