id,term,int_rate,installment,grade,dti,earliest_cr_line,open_acc,revol_bal,revol_util
6c266f44-bfd0-4bb7-bdcf-245460aa804f,36 months,10.75,652.41,B,19.02,18,16,45089.0,70.9
ccfbcb47-e7c9-44e6-9d59-f045555caba9,36 months,11.14,196.84,B,21.85,22,11,21155.0,96.2
4c1a65dd-e3a8-4e48-9d54-b60e66e3f85e,36 months,12.99,265.31,C,11.05,20,5,5584.0,82.1
010a4290-036d-4992-a53c-aab43998d6f8,60 months,11.55,660.54,B,18.8,15,14,4164.0,11.9
8a51572c-9fea-4805-a142-52a706b99d06,36 months,12.99,242.57,C,19.99,44,6,7925.0,31.8
c0a2e1c1-aecf-49e7-b9dd-07d03ee39c86,60 months,14.3,281.09,C,30.89,21,12,8080.0,32.6
139bdb3e-59b5-40da-80b0-4ea8f3d31d27,60 months,20.99,540.96,E,14.95,16,10,9066.0,56.3
80066858-3a79-4834-8686-38268b12f6f6,36 months,8.9,444.55,A,9.31,37,7,5159.0,66.1
ae0bd58f-429d-47c8-92bf-707e4f43386a,36 months,22.45,192.12,E,25.38,16,7,3851.0,91.7
7a2d4698-de8f-48eb-8dbb-0a0d63e5f593,36 months,5.32,310.19,A,20.67,22,5,9653.0,48.5
daf326fd-cb97-4fa8-aa41-788524d6847a,36 months,14.65,758.88,C,30.6,24,21,22862.0,69.3
88486540-e6c5-4d38-adb3-1ec7ca639509,36 months,7.89,469.29,A,20.71,40,11,7132.0,48.0
28abda7b-dc31-4e1d-9ad6-5444e03f3eeb,36 months,16.29,405.96,D,9.25,23,14,6514.0,56.6
6f184620-cbdf-4f20-b9ea-8262d80f79b7,36 months,9.67,179.83,B,6.31,11,10,17575.0,46.6
0e09d993-cff7-4164-be86-5356a21cc4b7,36 months,7.89,187.72,A,20.51,16,5,3102.0,50.9
bd4e37ad-3228-4a75-a470-31d64eb0ac67,36 months,15.61,319.06,D,18.99,13,10,11353.0,53.3
d9c7c0ad-f6d4-431e-8e42-eb13e5889c1d,36 months,12.59,251.23,C,24.23,20,5,3181.0,70.7
0d115041-aa86-4bed-b4ad-ac4f1f9cba50,60 months,17.97,507.55,D,13.24,12,22,15383.0,27.4
b7ce7f46-8923-46a4-aa9e-f8e7954763dc,60 months,18.99,648.38,D,20.92,13,15,23621.0,55.3
bed12aab-e074-4270-bb5f-8ed4c82658f4,60 months,11.99,622.71,C,17.67,15,20,10151.0,18.0
b05bb039-1460-4152-b89f-b913fcc34cce,36 months,20.75,796.0,E,37.36,17,6,18236.0,60.8
842d2b36-c7c9-4511-9988-75924645ab24,36 months,7.26,464.95,A,19.39,38,20,28981.0,28.4
3d24cf2d-d049-4021-bbda-0d2319cff018,36 months,20.49,523.8,E,20.44,19,8,13877.0,101.3
19d06b6d-d25e-401a-bb14-04c42993f994,60 months,24.85,1024.23,E,16.23,26,7,11593.0,54.7
36dfd9f1-bda8-4080-88d8-5a8bcb1d7921,60 months,22.35,333.82,D,19.95,8,16,8424.0,16.0
b95ddad7-04e2-4160-ace6-2b7adc21e05d,60 months,13.99,777.57,C,29.75,16,13,32846.0,68.1
ff1b2f28-6f0f-4f1b-800f-89d05125f640,36 months,22.99,270.94,F-G,19.6,13,14,17021.0,62.8
1602b9b6-7912-425d-9d69-0cb9ae341929,36 months,10.16,242.57,B,8.32,18,10,2621.0,9.3
660c7e9a-b35a-454c-b96c-8657afbbefe3,60 months,11.44,768.69,B,13.66,17,19,15033.0,19.3
d6921838-21f4-4bb8-b240-a7174d49b2de,36 months,7.39,465.84,A,25.28,24,10,31053.0,71.6
5207f06e-867f-474b-9f4e-f9841e06032e,36 months,7.21,619.47,A,15.61,21,13,13797.0,21.8
63b72f8b-d638-4ebe-8798-d2f20621e6e6,36 months,9.17,478.19,B,14.26,22,14,14785.0,71.1
9001cbc1-caab-4a69-bd6a-a5788818baff,36 months,10.99,163.67,B,29.65,32,19,37988.0,76.6
e5fc0279-acde-42b1-89b6-ceabb5b90bc7,60 months,17.76,505.27,D,22.87,26,12,19930.0,51.5
be3ae022-e463-4808-84bc-09df5316427e,60 months,11.44,549.07,B,22.41,19,11,42614.0,80.9
ac9938fe-303d-4108-a401-1f0e70a212b5,36 months,13.33,338.54,C,21.57,22,13,12746.0,41.9
f0e979a4-3167-44b1-801d-01a69a4887ac,36 months,16.02,253.21,C,31.35,14,20,15076.0,35.8
8e61bd8b-7e36-4707-8552-800725a1cb28,36 months,9.8,176.96,B,13.13,19,7,5089.0,60.6
c8573e1c-2b8c-40b7-bba7-2576c91f8048,60 months,17.57,286.83,D,25.04,19,10,10684.0,69.8
