dpd,credit_limit,mobiLoansScore,probability,id
3.0,5200.0,691.0,9.88,6c266f44-bfd0-4bb7-bdcf-245460aa804f
13.0,24200.0,531.0,30.47,ccfbcb47-e7c9-44e6-9d59-f045555caba9
9.0,4100.0,467.0,38.3,4c1a65dd-e3a8-4e48-9d54-b60e66e3f85e
8.0,16000.0,629.0,17.9,010a4290-036d-4992-a53c-aab43998d6f8
10.0,9000.0,543.0,28.83,8a51572c-9fea-4805-a142-52a706b99d06
36.0,12200.0,657.0,14.29,c0a2e1c1-aecf-49e7-b9dd-07d03ee39c86
32.0,11300.0,465.0,38.68,139bdb3e-59b5-40da-80b0-4ea8f3d31d27
22.0,20200.0,575.0,24.72,80066858-3a79-4834-8686-38268b12f6f6
40.0,4400.0,587.0,23.12,ae0bd58f-429d-47c8-92bf-707e4f43386a
43.0,11600.0,524.0,31.22,7a2d4698-de8f-48eb-8dbb-0a0d63e5f593
10.0,20000.0,461.0,39.48,daf326fd-cb97-4fa8-aa41-788524d6847a
49.0,23000.0,540.0,29.06,88486540-e6c5-4d38-adb3-1ec7ca639509
41.0,16800.0,673.0,12.25,28abda7b-dc31-4e1d-9ad6-5444e03f3eeb
20.0,18300.0,699.0,8.88,6f184620-cbdf-4f20-b9ea-8262d80f79b7
25.0,13000.0,422.0,44.22,0e09d993-cff7-4164-be86-5356a21cc4b7
16.0,16400.0,623.0,18.58,bd4e37ad-3228-4a75-a470-31d64eb0ac67
33.0,9000.0,705.0,8.1,d9c7c0ad-f6d4-431e-8e42-eb13e5889c1d
34.0,12000.0,464.0,38.75,0d115041-aa86-4bed-b4ad-ac4f1f9cba50
35.0,5500.0,418.0,44.76,b7ce7f46-8923-46a4-aa9e-f8e7954763dc
29.0,11300.0,537.0,29.37,bed12aab-e074-4270-bb5f-8ed4c82658f4
49.0,26100.0,447.0,41.41,b05bb039-1460-4152-b89f-b913fcc34cce
26.0,14300.0,547.0,28.37,842d2b36-c7c9-4511-9988-75924645ab24
30.0,12700.0,610.0,20.31,3d24cf2d-d049-4021-bbda-0d2319cff018
22.0,13100.0,715.0,6.84,19d06b6d-d25e-401a-bb14-04c42993f994
35.0,6300.0,592.0,22.63,36dfd9f1-bda8-4080-88d8-5a8bcb1d7921
0.0,4600.0,581.0,23.9,b95ddad7-04e2-4160-ace6-2b7adc21e05d
25.0,14700.0,659.0,14.04,ff1b2f28-6f0f-4f1b-800f-89d05125f640
29.0,4300.0,508.0,33.3,1602b9b6-7912-425d-9d69-0cb9ae341929
20.0,1900.0,410.0,45.7,660c7e9a-b35a-454c-b96c-8657afbbefe3
18.0,19400.0,430.0,43.32,d6921838-21f4-4bb8-b240-a7174d49b2de
7.0,6800.0,689.0,10.22,5207f06e-867f-474b-9f4e-f9841e06032e
7.0,13200.0,637.0,16.87,63b72f8b-d638-4ebe-8798-d2f20621e6e6
42.0,18300.0,662.0,13.55,9001cbc1-caab-4a69-bd6a-a5788818baff
7.0,11100.0,637.0,16.78,e5fc0279-acde-42b1-89b6-ceabb5b90bc7
28.0,23900.0,538.0,29.48,be3ae022-e463-4808-84bc-09df5316427e
4.0,16300.0,661.0,13.72,ac9938fe-303d-4108-a401-1f0e70a212b5
14.0,5900.0,593.0,22.37,f0e979a4-3167-44b1-801d-01a69a4887ac
5.0,7100.0,504.0,33.68,8e61bd8b-7e36-4707-8552-800725a1cb28
40.0,10300.0,601.0,21.39,c8573e1c-2b8c-40b7-bba7-2576c91f8048
39.0,21200.0,668.0,12.88,88a7c8ab-263b-4ad9-b4ed-78439bc72faa
28.0,13000.0,491.0,35.46,57a8b564-efd5-4059-ab88-4698bd7d9d92
13.0,3800.0,551.0,27.67,6c3667cd-6f20-4c24-a246-4368f7e05259
32.0,12900.0,718.0,6.48,5c939fcb-766b-4045-a59e-99eca47c66a7
16.0,6000.0,666.0,13.11,374798f4-3285-4719-a38a-dab42eea0255
16.0,11300.0,653.0,14.77,9b8732e2-7f25-4418-80fa-f7f3d8df2a7e
25.0,8600.0,704.0,8.24,c364d83d-65b1-40ba-9805-9d1684eb3dc2
12.0,4700.0,594.0,22.26,bbcaa386-1f7a-4aae-83bc-97f915126235
11.0,4400.0,407.0,46.18,5d0d103b-2b4c-4098-b3ec-bc871a26d597
24.0,10500.0,651.0,15.03,3934223f-5d31-4d84-806e-ba823f5d99a9
7.0,3900.0,424.0,44.05,38b31d5a-a4b6-4e60-a590-1dc3efa8ad7c
25.0,15400.0,660.0,13.78,b725955e-1c28-439f-b2b3-03e4ac32b66c
18.0,2000.0,598.0,21.81,f2246434-a393-4f3b-b91a-4b90667d37a6
15.0,4700.0,649.0,15.33,f8d1f16e-749c-46e2-83d9-16906f7271e8
31.0,13400.0,536.0,29.67,b45037ec-b7de-4704-88b0-011176bddbbc
26.0,21200.0,702.0,8.48,fdca19da-949f-403f-a5c1-49d702a57f23
21.0,4000.0,584.0,23.43,42b86eee-01ca-418b-b49d-0a39a3b12109
35.0,13300.0,584.0,23.61,31be4c93-7334-4fcb-9134-521cf4d9ab3c
4.0,17100.0,648.0,15.46,55522c35-d587-4573-a7bb-c639a3c27082
13.0,2600.0,700.0,8.74,b4561006-2838-4c45-b84b-e02ed75c0e21
4.0,8900.0,463.0,39.1,aaf5e4f9-63ff-4d6b-bbc7-c4d83fb3fcc6
15.0,10600.0,694.0,9.48,d714d05d-6b0a-4663-8a65-bfc2e4d72207
6.0,10900.0,540.0,29.11,d06cfb27-4974-49c3-87d0-ec6041079b1a
13.0,8100.0,346.0,53.97,6bb293d2-4a37-4f09-bfec-026fa999791f
20.0,17300.0,705.0,8.09,1dd48bf2-4098-4d5e-a954-cb5f6cd45347
17.0,9500.0,403.0,46.6,c282ed3a-3349-4ea6-bb09-420e038f4408
19.0,21000.0,673.0,12.09,8265078c-777b-4588-b9d4-2dbb1d00bdb8
17.0,34500.0,515.0,32.47,bf0e9236-4a9f-4c73-8da1-8b74d02bd0bf
10.0,10700.0,495.0,34.86,271c6d9d-aca2-4717-afa0-28ef671d6a46
20.0,1300.0,706.0,7.99,46a79894-87fb-4121-980f-933abc8ffa89
1.0,14800.0,430.0,43.33,010b54eb-f933-41db-b2fc-5511eb69210c
3.0,3800.0,478.0,37.18,80178454-bb43-43df-87da-2cc744b7663e
39.0,19800.0,540.0,29.16,aea80aa5-4b75-4f5f-be67-59359933217c
11.0,12000.0,377.0,49.99,0c4ac8d2-39b3-40e2-a747-a11928b7c97c
8.0,11900.0,586.0,23.47,0bcdca34-046a-43ed-ab22-08a382f14b41
23.0,9400.0,698.0,9.06,abd19cf9-b829-4a5a-92e6-3a4434e08489
1.0,600.0,599.0,21.71,45332621-f59c-4b37-8901-4da992e1e6c5
9.0,9000.0,636.0,16.96,33035816-0528-41e0-8c74-4afeb101ce36
23.0,2800.0,299.0,60.08,b4060730-b028-4819-b9b4-7edfe90c0d79
16.0,6100.0,688.0,10.24,928001f5-9ba6-4475-b2a1-87c499ccf888
2.0,5600.0,546.0,28.51,b37d3a74-1767-42ed-a4c2-e9051aa85c1a
23.0,26600.0,562.0,26.38,ebcd01cc-6e94-43ea-8d6e-63ac4f995c17
39.0,32700.0,630.0,17.51,65de47cc-dfdd-4c43-800b-987ed80b6585
15.0,2500.0,620.0,18.9,f296ee12-1a0b-4bf6-81da-fefb433e43e8
